,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021800728,1610612756,Suns,PHX,Phoenix,240:00,0.467,0.342,0.158,0.045,0.58,0.309,0.117,0.327
1,0021800728,1610612743,Nuggets,DEN,Denver,240:00,0.58,0.309,0.117,0.308,0.467,0.342,0.158,0.045
0,0021800729,1610612762,Jazz,UTA,Utah,240:00,0.463,0.266,0.11,0.271,0.467,0.233,0.147,0.352
1,0021800729,1610612750,Timberwolves,MIN,Minnesota,240:00,0.467,0.233,0.147,0.222,0.463,0.266,0.11,0.356
0,0021800730,1610612759,Spurs,SAS,San Antonio,240:00,0.577,0.275,0.097,0.2,0.505,0.25,0.077,0.214
1,0021800730,1610612740,Pelicans,NOP,New Orleans,240:00,0.505,0.25,0.077,0.179,0.577,0.275,0.097,0.267
0,0021800731,1610612763,Grizzlies,MEM,Memphis,240:00,0.544,0.35,0.142,0.174,0.493,0.486,0.179,0.311
1,0021800731,1610612754,Pacers,IND,Indiana,240:00,0.493,0.486,0.179,0.156,0.544,0.35,0.142,0.217
0,0021800732,1610612744,Warriors,GSW,Golden State,240:00,0.518,0.41,0.147,0.229,0.49,0.152,0.134,0.288
1,0021800732,1610612738,Celtics,BOS,Boston,240:00,0.49,0.152,0.134,0.254,0.518,0.41,0.147,0.271
0,0021800733,1610612755,76ers,PHI,Philadelphia,240:00,0.495,0.297,0.116,0.196,0.553,0.309,0.103,0.304
1,0021800733,1610612743,Nuggets,DEN,Denver,240:00,0.553,0.309,0.103,0.239,0.495,0.297,0.116,0.214
0,0021800734,1610612757,Trail Blazers,POR,Portland,240:00,0.567,0.366,0.184,0.256,0.522,0.217,0.107,0.231
1,0021800734,1610612737,Hawks,ATL,Atlanta,240:00,0.522,0.217,0.107,0.173,0.567,0.366,0.184,0.326
0,0021800735,1610612739,Cavaliers,CLE,Cleveland,240:00,0.495,0.163,0.085,0.218,0.494,0.193,0.103,0.216
1,0021800735,1610612741,Bulls,CHI,Chicago,240:00,0.494,0.193,0.103,0.157,0.495,0.163,0.085,0.236
0,0021800736,1610612758,Kings,SAC,Sacramento,240:00,0.441,0.323,0.116,0.263,0.54,0.33,0.18,0.375
1,0021800736,1610612746,Clippers,LAC,LA,240:00,0.54,0.33,0.18,0.292,0.441,0.323,0.116,0.316
0,0021800738,1610612760,Thunder,OKC,Oklahoma City,240:00,0.553,0.266,0.113,0.2,0.511,0.308,0.129,0.224
1,0021800738,1610612749,Bucks,MIL,Milwaukee,240:00,0.511,0.308,0.129,0.155,0.553,0.266,0.113,0.255
0,0021800737,1610612753,Magic,ORL,Orlando,240:00,0.454,0.175,0.148,0.286,0.55,0.263,0.131,0.111
1,0021800737,1610612745,Rockets,HOU,Houston,240:00,0.55,0.263,0.131,0.067,0.454,0.175,0.148,0.381
0,0021800739,1610612761,Raptors,TOR,Toronto,240:00,0.548,0.458,0.08,0.17,0.551,0.386,0.103,0.275
1,0021800739,1610612742,Mavericks,DAL,Dallas,240:00,0.551,0.386,0.103,0.137,0.548,0.458,0.08,0.213
0,0021800740,1610612762,Jazz,UTA,Utah,240:00,0.622,0.291,0.09,0.146,0.591,0.299,0.163,0.167
1,0021800740,1610612750,Timberwolves,MIN,Minnesota,240:00,0.591,0.299,0.163,0.119,0.622,0.291,0.09,0.22
0,0021800742,1610612764,Wizards,WAS,Washington,240:00,0.551,0.326,0.088,0.151,0.663,0.244,0.153,0.316
1,0021800742,1610612759,Spurs,SAS,San Antonio,240:00,0.663,0.244,0.153,0.184,0.551,0.326,0.088,0.208
0,0021800741,1610612752,Knicks,NYK,New York,240:00,0.47,0.286,0.112,0.137,0.536,0.214,0.16,0.289
1,0021800741,1610612748,Heat,MIA,Miami,240:00,0.536,0.214,0.16,0.178,0.47,0.286,0.112,0.196
0,0021800743,1610612756,Suns,PHX,Phoenix,240:00,0.441,0.376,0.16,0.288,0.584,0.202,0.178,0.422
1,0021800743,1610612747,Lakers,LAL,Los Angeles,240:00,0.584,0.202,0.178,0.311,0.441,0.376,0.16,0.385
0,0021800744,1610612752,Knicks,NYK,New York,240:00,0.441,0.306,0.102,0.151,0.473,0.17,0.102,0.333
1,0021800744,1610612766,Hornets,CHA,Charlotte,240:00,0.473,0.17,0.102,0.228,0.441,0.306,0.102,0.226
0,0021800745,1610612754,Pacers,IND,Indiana,240:00,0.489,0.106,0.145,0.182,0.607,0.163,0.132,0.391
1,0021800745,1610612744,Warriors,GSW,Golden State,240:00,0.607,0.163,0.132,0.283,0.489,0.106,0.145,0.255
0,0021800746,1610612738,Celtics,BOS,Boston,240:00,0.515,0.1,0.169,0.286,0.442,0.155,0.153,0.406
1,0021800746,1610612751,Nets,BKN,Brooklyn,240:00,0.442,0.155,0.153,0.25,0.515,0.1,0.169,0.411
0,0021800747,1610612763,Grizzlies,MEM,Memphis,240:00,0.506,0.244,0.205,0.196,0.488,0.167,0.156,0.271
1,0021800747,1610612743,Nuggets,DEN,Denver,240:00,0.488,0.167,0.156,0.188,0.506,0.244,0.205,0.261
0,0021800748,1610612746,Clippers,LAC,LA,240:00,0.541,0.329,0.159,0.289,0.563,0.333,0.183,0.432
1,0021800748,1610612737,Hawks,ATL,Atlanta,240:00,0.563,0.333,0.183,0.341,0.541,0.329,0.159,0.333
0,0021800749,1610612764,Wizards,WAS,Washington,240:00,0.552,0.264,0.06,0.065,0.625,0.286,0.154,0.277
1,0021800749,1610612739,Cavaliers,CLE,Cleveland,240:00,0.625,0.286,0.154,0.149,0.552,0.264,0.06,0.087
0,0021800750,1610612749,Bucks,MIL,Milwaukee,240:00,0.615,0.115,0.114,0.143,0.539,0.135,0.125,0.271
1,0021800750,1610612765,Pistons,DET,Detroit,240:00,0.539,0.135,0.125,0.208,0.615,0.115,0.114,0.19
0,0021800751,1610612753,Magic,ORL,Orlando,240:00,0.5,0.176,0.115,0.3,0.588,0.286,0.068,0.178
1,0021800751,1610612760,Thunder,OKC,Oklahoma City,240:00,0.588,0.286,0.068,0.133,0.5,0.176,0.115,0.333
0,0021800752,1610612741,Bulls,CHI,Chicago,240:00,0.548,0.202,0.156,0.098,0.5,0.426,0.071,0.186
1,0021800752,1610612751,Nets,BKN,Brooklyn,240:00,0.5,0.426,0.071,0.119,0.548,0.202,0.156,0.235
0,0021800753,1610612740,Pelicans,NOP,New Orleans,240:00,0.561,0.278,0.162,0.277,0.49,0.238,0.111,0.323
1,0021800753,1610612745,Rockets,HOU,Houston,240:00,0.49,0.238,0.111,0.231,0.561,0.278,0.162,0.319
0,0021800754,1610612759,Spurs,SAS,San Antonio,240:00,0.545,0.2,0.104,0.259,0.681,0.238,0.174,0.147
1,0021800754,1610612756,Suns,PHX,Phoenix,240:00,0.681,0.238,0.174,0.088,0.545,0.2,0.104,0.352
0,0021800755,1610612755,76ers,PHI,Philadelphia,240:00,0.532,0.301,0.114,0.226,0.505,0.174,0.198,0.353
1,0021800755,1610612747,Lakers,LAL,Los Angeles,240:00,0.505,0.174,0.198,0.275,0.532,0.301,0.114,0.302
0,0021800756,1610612766,Hornets,CHA,Charlotte,240:00,0.511,0.079,0.124,0.135,0.622,0.178,0.124,0.39
1,0021800756,1610612738,Celtics,BOS,Boston,240:00,0.622,0.178,0.124,0.293,0.511,0.079,0.124,0.212
0,0021800757,1610612748,Heat,MIA,Miami,240:00,0.449,0.146,0.158,0.268,0.564,0.269,0.136,0.171
1,0021800757,1610612741,Bulls,CHI,Chicago,240:00,0.564,0.269,0.136,0.122,0.449,0.146,0.158,0.321
0,0021800758,1610612752,Knicks,NYK,New York,240:00,0.449,0.359,0.123,0.098,0.625,0.131,0.188,0.268
1,0021800758,1610612742,Mavericks,DAL,Dallas,240:00,0.625,0.131,0.188,0.171,0.449,0.359,0.123,0.137
0,0021800759,1610612764,Wizards,WAS,Washington,240:00,0.603,0.269,0.159,0.2,0.446,0.214,0.172,0.315
1,0021800759,1610612754,Pacers,IND,Indiana,240:00,0.446,0.214,0.172,0.185,0.603,0.269,0.159,0.25
0,0021800760,1610612750,Timberwolves,MIN,Minnesota,265:00,0.432,0.232,0.122,0.183,0.448,0.253,0.179,0.392
1,0021800760,1610612763,Grizzlies,MEM,Memphis,265:00,0.448,0.253,0.179,0.275,0.432,0.232,0.122,0.333
0,0021800761,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.146,0.147,0.151,0.522,0.213,0.099,0.176
1,0021800761,1610612743,Nuggets,DEN,Denver,240:00,0.522,0.213,0.099,0.118,0.5,0.146,0.147,0.245
0,0021800762,1610612758,Kings,SAC,Sacramento,240:00,0.601,0.212,0.131,0.319,0.535,0.291,0.193,0.255
1,0021800762,1610612737,Hawks,ATL,Atlanta,240:00,0.535,0.291,0.193,0.176,0.601,0.212,0.131,0.362
0,0021800763,1610612762,Jazz,UTA,Utah,240:00,0.512,0.247,0.165,0.163,0.622,0.256,0.144,0.318
1,0021800763,1610612757,Trail Blazers,POR,Portland,240:00,0.622,0.256,0.144,0.25,0.512,0.247,0.165,0.224
0,0021800764,1610612765,Pistons,DET,Detroit,240:00,0.436,0.267,0.119,0.278,0.449,0.159,0.126,0.291
1,0021800764,1610612742,Mavericks,DAL,Dallas,240:00,0.449,0.159,0.126,0.2,0.436,0.267,0.119,0.333
0,0021800765,1610612753,Magic,ORL,Orlando,240:00,0.53,0.268,0.154,0.2,0.473,0.176,0.098,0.173
1,0021800765,1610612754,Pacers,IND,Indiana,240:00,0.473,0.176,0.098,0.115,0.53,0.268,0.154,0.2
0,0021800766,1610612761,Raptors,TOR,Toronto,240:00,0.435,0.14,0.15,0.138,0.582,0.215,0.201,0.209
1,0021800766,1610612749,Bucks,MIL,Milwaukee,240:00,0.582,0.215,0.201,0.163,0.435,0.14,0.15,0.259
0,0021800767,1610612759,Spurs,SAS,San Antonio,240:00,0.46,0.29,0.083,0.213,0.534,0.326,0.126,0.192
1,0021800767,1610612751,Nets,BKN,Brooklyn,240:00,0.534,0.326,0.126,0.096,0.46,0.29,0.083,0.295
0,0021800768,1610612755,76ers,PHI,Philadelphia,240:00,0.534,0.273,0.187,0.32,0.528,0.182,0.148,0.26
1,0021800768,1610612744,Warriors,GSW,Golden State,240:00,0.528,0.182,0.148,0.18,0.534,0.273,0.187,0.4
0,0021800769,1610612747,Lakers,LAL,Los Angeles,265:00,0.516,0.38,0.137,0.13,0.51,0.25,0.088,0.231
1,0021800769,1610612746,Clippers,LAC,LA,265:00,0.51,0.25,0.088,0.185,0.516,0.38,0.137,0.259
0,0021800770,1610612763,Grizzlies,MEM,Memphis,240:00,0.494,0.213,0.151,0.188,0.521,0.384,0.131,0.256
1,0021800770,1610612766,Hornets,CHA,Charlotte,240:00,0.521,0.384,0.131,0.14,0.494,0.213,0.151,0.271
0,0021800771,1610612752,Knicks,NYK,New York,240:00,0.506,0.14,0.178,0.17,0.525,0.1,0.07,0.222
1,0021800771,1610612738,Celtics,BOS,Boston,240:00,0.525,0.1,0.07,0.204,0.506,0.14,0.178,0.234
0,0021800772,1610612760,Thunder,OKC,Oklahoma City,240:00,0.571,0.209,0.148,0.255,0.505,0.152,0.171,0.296
1,0021800772,1610612748,Heat,MIA,Miami,240:00,0.505,0.152,0.171,0.204,0.571,0.209,0.148,0.275
0,0021800773,1610612762,Jazz,UTA,Utah,240:00,0.598,0.345,0.144,0.234,0.469,0.245,0.099,0.311
1,0021800773,1610612737,Hawks,ATL,Atlanta,240:00,0.469,0.245,0.099,0.131,0.598,0.345,0.144,0.277
0,0021800774,1610612745,Rockets,HOU,Houston,240:00,0.624,0.247,0.107,0.268,0.707,0.28,0.089,0.387
1,0021800774,1610612743,Nuggets,DEN,Denver,240:00,0.707,0.28,0.089,0.323,0.624,0.247,0.107,0.317
0,0021800775,1610612746,Clippers,LAC,LA,240:00,0.549,0.415,0.131,0.234,0.524,0.241,0.142,0.212
1,0021800775,1610612765,Pistons,DET,Detroit,240:00,0.524,0.241,0.142,0.135,0.549,0.415,0.131,0.277
0,0021800776,1610612741,Bulls,CHI,Chicago,240:00,0.574,0.309,0.106,0.205,0.61,0.354,0.075,0.238
1,0021800776,1610612766,Hornets,CHA,Charlotte,240:00,0.61,0.354,0.075,0.214,0.574,0.309,0.106,0.256
0,0021800777,1610612753,Magic,ORL,Orlando,240:00,0.489,0.128,0.132,0.127,0.418,0.176,0.174,0.241
1,0021800777,1610612751,Nets,BKN,Brooklyn,240:00,0.418,0.176,0.174,0.138,0.489,0.128,0.132,0.164
0,0021800778,1610612764,Wizards,WAS,Washington,240:00,0.516,0.28,0.115,0.231,0.588,0.264,0.112,0.217
1,0021800778,1610612749,Bucks,MIL,Milwaukee,240:00,0.588,0.264,0.112,0.13,0.516,0.28,0.115,0.231
0,0021800780,1610612742,Mavericks,DAL,Dallas,240:00,0.571,0.226,0.135,0.205,0.424,0.388,0.063,0.232
1,0021800780,1610612739,Cavaliers,CLE,Cleveland,240:00,0.424,0.388,0.063,0.196,0.571,0.226,0.135,0.25
