,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,PTS_FHALF,PTS_SHALF,REG_PTS
51,2018-10-20T00:00:00,1,0021800026,1610612754,IND,Indiana,2-1,33,34,28,37,0,0,0,0,0,0,0,0,0,0,132,0.5539999999999999,0.636,0.667,21,40,10,67,65,132
52,2018-10-20T00:00:00,2,0021800027,1610612761,TOR,Toronto,3-0,24,33,33,27,0,0,0,0,0,0,0,0,0,0,117,0.44299999999999995,0.8059999999999999,0.345,21,52,17,57,60,117
53,2018-10-20T00:00:00,2,0021800027,1610612764,WAS,Washington,0-2,22,32,28,31,0,0,0,0,0,0,0,0,0,0,113,0.41600000000000004,0.813,0.33299999999999996,20,37,11,54,59,113
54,2018-10-20T00:00:00,3,0021800028,1610612738,BOS,Boston,2-1,31,19,27,26,0,0,0,0,0,0,0,0,0,0,103,0.402,0.848,0.36,21,47,15,50,53,103
55,2018-10-20T00:00:00,3,0021800028,1610612752,NYK,New York,1-2,18,30,22,31,0,0,0,0,0,0,0,0,0,0,101,0.414,0.63,0.34299999999999997,23,46,16,48,53,101
56,2018-10-20T00:00:00,4,0021800029,1610612753,ORL,Orlando,1-2,32,20,34,29,0,0,0,0,0,0,0,0,0,0,115,0.456,0.773,0.552,31,49,14,52,63,115
57,2018-10-20T00:00:00,4,0021800029,1610612755,PHI,Philadelphia,2-1,30,33,26,27,0,0,0,0,0,0,0,0,0,0,116,0.479,0.9,0.515,33,46,10,63,53,116
58,2018-10-20T00:00:00,5,0021800030,1610612766,CHA,Charlotte,2-1,34,38,20,21,0,0,0,0,0,0,0,0,0,0,113,0.441,0.652,0.381,23,40,11,72,41,113
59,2018-10-20T00:00:00,5,0021800030,1610612748,MIA,Miami,1-2,29,23,30,30,0,0,0,0,0,0,0,0,0,0,112,0.461,0.7040000000000001,0.324,21,49,15,52,60,112
60,2018-10-20T00:00:00,6,0021800031,1610612765,DET,Detroit,2-0,25,35,25,33,0,0,0,0,0,0,0,0,0,0,118,0.406,0.7829999999999999,0.45,21,49,9,60,58,118
61,2018-10-20T00:00:00,6,0021800031,1610612741,CHI,Chicago,0-2,27,31,26,32,0,0,0,0,0,0,0,0,0,0,116,0.506,0.8079999999999999,0.33299999999999996,26,41,11,58,58,116
62,2018-10-20T00:00:00,7,0021800032,1610612750,MIN,Minnesota,1-2,46,23,30,37,0,0,0,0,0,0,0,0,0,0,136,0.524,0.85,0.519,23,33,17,69,67,136
63,2018-10-20T00:00:00,7,0021800032,1610612742,DAL,Dallas,1-1,37,32,28,43,0,0,0,0,0,0,0,0,0,0,140,0.5,0.735,0.34,29,42,16,69,71,140
64,2018-10-20T00:00:00,8,0021800033,1610612756,PHX,Phoenix,1-1,16,33,30,12,0,0,0,0,0,0,0,0,0,0,91,0.377,0.629,0.282,20,40,19,49,42,91
65,2018-10-20T00:00:00,8,0021800033,1610612743,DEN,Denver,2-0,30,35,27,27,0,0,0,0,0,0,0,0,0,0,119,0.506,0.828,0.321,28,54,18,65,54,119
66,2018-10-20T00:00:00,9,0021800034,1610612759,SAS,San Antonio,1-1,22,28,32,26,0,0,0,0,0,0,0,0,0,0,108,0.42,0.7859999999999999,0.433,29,40,6,50,58,108
67,2018-10-20T00:00:00,9,0021800034,1610612757,POR,Portland,2-0,22,37,38,24,0,0,0,0,0,0,0,0,0,0,121,0.536,0.8420000000000001,0.469,24,46,12,59,62,121
68,2018-10-20T00:00:00,10,0021800035,1610612745,HOU,Houston,1-1,31,35,32,26,0,0,0,0,0,0,0,0,0,0,124,0.45799999999999996,0.667,0.381,22,54,16,66,58,124
69,2018-10-20T00:00:00,10,0021800035,1610612747,LAL,Los Angeles,0-2,28,34,35,18,0,0,0,0,0,0,0,0,0,0,115,0.48,0.611,0.25,28,44,10,62,53,115
70,2018-10-21T00:00:00,1,0021800036,1610612737,ATL,Atlanta,1-2,24,40,28,41,0,0,0,0,0,0,0,0,0,0,133,0.49,0.789,0.46799999999999997,32,44,12,64,69,133
71,2018-10-21T00:00:00,1,0021800036,1610612739,CLE,Cleveland,0-3,34,26,26,25,0,0,0,0,0,0,0,0,0,0,111,0.465,0.643,0.37,23,49,18,60,51,111
72,2018-10-21T00:00:00,2,0021800037,1610612758,SAC,Sacramento,1-2,34,34,29,34,0,0,0,0,0,0,0,0,0,0,131,0.5489999999999999,0.75,0.455,28,46,17,68,63,131
73,2018-10-21T00:00:00,2,0021800037,1610612760,OKC,Oklahoma City,0-3,32,24,34,30,0,0,0,0,0,0,0,0,0,0,120,0.442,0.633,0.231,23,51,18,56,64,120
74,2018-10-21T00:00:00,3,0021800038,1610612744,GSW,Golden State,2-1,25,24,21,28,0,0,0,0,0,0,0,0,0,0,98,0.456,0.792,0.24100000000000002,22,40,18,49,49,98
75,2018-10-21T00:00:00,3,0021800038,1610612743,DEN,Denver,3-0,17,30,33,20,0,0,0,0,0,0,0,0,0,0,100,0.40700000000000003,0.5710000000000001,0.188,21,47,8,47,53,100
76,2018-10-21T00:00:00,4,0021800039,1610612745,HOU,Houston,1-2,24,29,31,28,0,0,0,0,0,0,0,0,0,0,112,0.483,0.733,0.429,28,35,12,53,59,112
77,2018-10-21T00:00:00,4,0021800039,1610612746,LAC,LA,2-1,29,25,39,22,0,0,0,0,0,0,0,0,0,0,115,0.47200000000000003,1.0,0.2,22,49,13,54,61,115
78,2018-10-22T00:00:00,1,0021800040,1610612753,ORL,Orlando,2-2,28,20,27,18,0,0,0,0,0,0,0,0,0,0,93,0.409,0.7,0.28600000000000003,28,49,9,48,45,93
79,2018-10-22T00:00:00,1,0021800040,1610612738,BOS,Boston,2-2,19,26,25,20,0,0,0,0,0,0,0,0,0,0,90,0.40700000000000003,0.778,0.225,21,51,12,45,45,90
80,2018-10-22T00:00:00,2,0021800041,1610612766,CHA,Charlotte,2-2,22,25,32,27,0,0,0,0,0,0,0,0,0,0,106,0.423,0.833,0.321,21,41,12,47,59,106
81,2018-10-22T00:00:00,2,0021800041,1610612761,TOR,Toronto,4-0,31,31,35,30,0,0,0,0,0,0,0,0,0,0,127,0.575,0.857,0.385,36,46,13,62,65,127
82,2018-10-22T00:00:00,3,0021800042,1610612752,NYK,New York,1-3,29,23,35,26,0,0,0,0,0,0,0,0,0,0,113,0.455,0.867,0.345,22,43,11,52,61,113
83,2018-10-22T00:00:00,3,0021800042,1610612749,MIL,Milwaukee,3-0,33,38,17,36,0,0,0,0,0,0,0,0,0,0,124,0.469,0.708,0.425,27,55,14,71,53,124
84,2018-10-22T00:00:00,4,0021800043,1610612754,IND,Indiana,2-2,28,21,24,18,0,0,0,0,0,0,0,0,0,0,91,0.391,0.688,0.308,18,45,15,49,42,91
85,2018-10-22T00:00:00,4,0021800043,1610612750,MIN,Minnesota,2-2,25,25,22,29,0,0,0,0,0,0,0,0,0,0,101,0.424,0.917,0.212,24,47,15,50,51,101
86,2018-10-22T00:00:00,5,0021800044,1610612741,CHI,Chicago,0-3,28,33,23,25,0,0,0,0,0,0,0,0,0,0,109,0.513,0.667,0.565,18,34,19,61,48,109
87,2018-10-22T00:00:00,5,0021800044,1610612742,DAL,Dallas,2-1,31,28,29,27,0,0,0,0,0,0,0,0,0,0,115,0.43,0.9520000000000001,0.319,25,41,15,59,56,115
88,2018-10-22T00:00:00,6,0021800045,1610612763,MEM,Memphis,2-1,19,28,23,22,0,0,0,0,0,0,0,0,0,0,92,0.369,0.8079999999999999,0.321,18,43,10,47,45,92
89,2018-10-22T00:00:00,6,0021800045,1610612762,UTA,Utah,1-2,22,24,17,21,0,0,0,0,0,0,0,0,0,0,84,0.354,0.7829999999999999,0.25,18,50,15,46,38,84
90,2018-10-22T00:00:00,7,0021800046,1610612764,WAS,Washington,1-2,28,34,16,33,14,0,0,0,0,0,0,0,0,0,125,0.418,0.6920000000000001,0.405,23,54,10,62,63,111
91,2018-10-22T00:00:00,7,0021800046,1610612757,POR,Portland,2-1,32,30,15,34,13,0,0,0,0,0,0,0,0,0,124,0.39799999999999996,0.871,0.282,22,70,19,62,62,111
92,2018-10-22T00:00:00,8,0021800047,1610612756,PHX,Phoenix,1-2,23,24,34,22,0,0,0,0,0,0,0,0,0,0,103,0.45299999999999996,0.889,0.265,24,45,21,47,56,103
93,2018-10-22T00:00:00,8,0021800047,1610612744,GSW,Golden State,3-1,32,38,36,17,0,0,0,0,0,0,0,0,0,0,123,0.511,0.731,0.37799999999999995,35,40,14,70,53,123
94,2018-10-22T00:00:00,9,0021800048,1610612759,SAS,San Antonio,2-1,40,25,34,29,15,0,0,0,0,0,0,0,0,0,143,0.515,0.737,0.536,32,47,9,65,78,128
